x_value,total_1,total_2
0,1000,1000
1,1003,995
2,1010,990
3,1015,990
4,1010,994
5,1010,994
6,1005,999
7,1000,1003
8,1005,1007
9,1009,1006
10,1005,1002
11,1003,1003
12,1011,1001
13,1019,998
14,1022,999
15,1017,999
16,1023,1005
17,1030,1002
18,1033,997
19,1037,1003
20,1043,1005
21,1044,1009
22,1047,1011
23,1045,1010
24,1052,1006
25,1050,1011
26,1055,1016
27,1054,1015
28,1049,1015
29,1047,1013
30,1044,1017
31,1046,1017
32,1049,1021
33,1049,1023
34,1056,1027
35,1064,1026
36,1067,1031
37,1066,1035
38,1074,1036
39,1075,1042
40,1083,1043
41,1082,1046
42,1077,1049
43,1078,1047
44,1085,1042
45,1093,1043
46,1091,1040
47,1091,1039
48,1089,1037
49,1086,1035
50,1091,1037
51,1093,1040
52,1088,1040
53,1083,1041
54,1081,1042
55,1083,1040
56,1088,1044
57,1086,1039
58,1081,1034
59,1084,1037
60,1085,1037
61,1085,1042
62,1089,1046
63,1084,1044
64,1080,1048
65,1081,1049
66,1080,1055
67,1085,1050
68,1092,1056
69,1099,1051
70,1097,1056
71,1095,1054
72,1093,1056
73,1093,1054
74,1100,1058
75,1103,1056
76,1103,1054
77,1100,1059
78,1104,1061
79,1107,1056
80,1114,1054
81,1117,1057
82,1113,1060
83,1116,1058
84,1116,1059
85,1118,1057
86,1120,1063
87,1124,1061
88,1120,1059
89,1117,1064
90,1112,1059
91,1109,1060
92,1114,1062
93,1116,1064
94,1118,1069
95,1120,1067
96,1126,1062
97,1129,1059
98,1128,1060
99,1135,1061
100,1137,1060
101,1131,1062
102,1135,1062
103,1139,1064
